Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
94070-112745,WR,Drake,Drake London,London,7.849999904632568,2,6500,ATL@DET,ATL,DET,,,,,,WR/FLEX
94070-25011,TE,Darren,Darren Waller,Waller,7.849999904632568,2,6500,NYG@SF,NYG,SF,,,,,,TE/FLEX
94070-111540,RB,Rhamondre,Rhamondre Stevenson,Stevenson,12.699999809265137,2,6500,NE@NYJ,NE,NYJ,,,,,,RB/FLEX
94070-54604,QB,Jimmy,Jimmy Garoppolo,Garoppolo,12.800000190734863,2,6500,PIT@LV,LV,PIT,,,,,,QB
94070-60858,WR,Christian,Christian Kirk,Kirk,8.930000305175781,2,6500,HOU@JAC,JAC,HOU,,,,,,WR/FLEX
94070-40407,QB,Joshua,Joshua Dobbs,Dobbs,13.100000381469727,2,6500,DAL@ARI,ARI,DAL,,,,,,QB
94070-110246,WR,George,George Pickens,Pickens,13.399999618530273,2,6500,PIT@LV,PIT,LV,,,,,,WR/FLEX
94070-55635,WR,Chris,Chris Godwin,Godwin,7.949999809265137,2,6400,PHI@TB,TB,PHI,,,,,,WR/FLEX
94070-70027,RB,Zack,Zack Moss,Moss,18.700000762939453,1,6400,IND@BAL,IND,BAL,,,,,,RB/FLEX
94070-103064,RB,Breece,Breece Hall,Hall,8.050000190734863,2,6400,NE@NYJ,NYJ,NE,Q,Knee,,,,RB/FLEX
94070-119606,QB,Bryce,Bryce Young,Young,11.529999732971191,2,6400,CAR@SEA,CAR,SEA,Q,Ankle,,,,QB
94070-63043,WR,DJ,DJ Moore,Moore,8.449999809265137,2,6400,CHI@KC,CHI,KC,,,,,,WR/FLEX
94070-53303,RB,Matt,Matt Breida,Breida,0.800000011920929,2,6300,NYG@SF,NYG,SF,,,,,,RB/FLEX
94070-57403,WR,Courtland,Courtland Sutton,Sutton,10.149999618530273,2,6300,DEN@MIA,DEN,MIA,,,,,,WR/FLEX
94070-90406,QB,Zach,Zach Wilson,Wilson,10.300000190734863,2,6300,NE@NYJ,NYJ,NE,,,,,,QB
94070-93055,WR,Isaiah,Isaiah Hodgins,Hodgins,6.449999809265137,2,6300,NYG@SF,NYG,SF,,,,,,WR/FLEX
94070-93107,RB,AJ,AJ Dillon,Dillon,5.699999809265137,2,6300,NO@GB,GB,NO,,,,,,RB/FLEX
94070-72776,RB,Alexander,Alexander Mattison,Mattison,7.650000095367432,2,6300,LAC@MIN,MIN,LAC,,,,,,RB/FLEX
94070-112295,WR,Zay,Zay Flowers,Flowers,11,2,6300,IND@BAL,BAL,IND,,,,,,WR/FLEX
94070-53331,QB,Taylor,Taylor Heinicke,Heinicke,13.551111009385851,9,6200,ATL@DET,ATL,DET,,,,,,QB
94070-86243,QB,Will,Will Levis,Levis,,,6200,TEN@CLE,TEN,CLE,,,,,,QB
94070-24849,QB,Jameis,Jameis Winston,Winston,16.306666056315105,3,6200,NO@GB,NO,GB,,,,,,QB
94070-31001,WR,Amari,Amari Cooper,Cooper,8.850000381469727,2,6200,TEN@CLE,CLE,TEN,Q,Groin,,,,WR/FLEX
94070-86687,WR,Marquise,Marquise Brown,Brown,10.800000190734863,2,6200,DAL@ARI,ARI,DAL,,,,,,WR/FLEX
94070-41827,QB,P.J.,P.J. Walker,Walker,7.023333231608073,6,6200,TEN@CLE,CLE,TEN,,,,,,QB
94070-40167,RB,Gus,Gus Edwards,Edwards,8.699999809265137,2,6200,IND@BAL,BAL,IND,,,,,,RB/FLEX
94070-30231,QB,Jacoby,Jacoby Brissett,Brissett,12.472856794084821,14,6200,BUF@WAS,WAS,BUF,,,,,,QB
94070-89628,QB,Davis,Davis Mills,Mills,13.101333618164062,15,6200,HOU@JAC,HOU,JAC,,,,,,QB
94070-40534,QB,Mike,Mike White,White,15.145000457763672,4,6200,DEN@MIA,MIA,DEN,,,,,,QB
94070-87691,QB,Malik,Malik Willis,Willis,3.1914285932268416,7,6200,TEN@CLE,TEN,CLE,,,,,,QB
94070-38628,QB,Mitch,Mitch Trubisky,Trubisky,11.268571036202568,7,6200,PIT@LV,PIT,LV,,,,,,QB
94070-40687,RB,James,James Conner,Conner,13.050000190734863,2,6200,DAL@ARI,ARI,DAL,,,,,,RB/FLEX
94070-91898,QB,Dorian,Dorian Thompson-Robinson,Thompson-Robinson,,,6200,TEN@CLE,CLE,TEN,,,,,,QB
94070-14225,QB,Andy,Andy Dalton,Dalton,13.08857182094029,14,6200,CAR@SEA,CAR,SEA,,,,,,QB
