Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
94505-63484,QB,Kyler,Kyler Murray,Murray,18.865454933860086,11,6000,CIN@ARI,ARI,CIN,NA,Knee - acl,,,,QB
94505-129210,WR,Jordan,Jordan Addison,Addison,9.25,4,5900,KC@MIN,MIN,KC,,,,,,WR/FLEX
94505-63819,WR,Darius,Darius Slayton,Slayton,4.675000190734863,4,5900,NYG@MIA,NYG,MIA,,,,,,WR/FLEX
94505-129368,RB,Jahmyr,Jahmyr Gibbs,Gibbs,7.974999904632568,4,5900,CAR@DET,DET,CAR,D,Hamstring,,,,RB/FLEX
94505-56809,WR,Allen,Allen Lazard,Lazard,6.974999904632568,4,5900,NYJ@DEN,NYJ,DEN,,,,,,WR/FLEX
94505-112295,WR,Zay,Zay Flowers,Flowers,9.375,4,5900,BAL@PIT,BAL,PIT,,,,,,WR/FLEX
94505-54140,RB,Dalvin,Dalvin Cook,Cook,3.450000047683716,4,5900,NYJ@DEN,NYJ,DEN,,,,,,RB/FLEX
94505-90428,RB,Tyler,Tyler Allgeier,Allgeier,8.324999809265137,4,5800,HOU@ATL,ATL,HOU,,,,,,RB/FLEX
94505-112057,RB,Jaylen,Jaylen Warren,Warren,7.525000095367432,4,5800,BAL@PIT,PIT,BAL,,,,,,RB/FLEX
94505-52917,WR,DJ,DJ Chark Jr.,Chark Jr.,7.466666539510091,3,5800,CAR@DET,CAR,DET,,,,,,WR/FLEX
94505-92976,WR,Tutu,Tutu Atwell,Atwell,11.675000190734863,4,5800,PHI@LAR,LAR,PHI,,,,,,WR/FLEX
94505-89230,RB,Cam,Cam Akers,Akers,7.5,2,5700,KC@MIN,MIN,KC,,,,,,RB/FLEX
94505-93541,RB,Javonte,Javonte Williams,Williams,6.099999904632568,4,5700,NYJ@DEN,DEN,NYJ,Q,Quadriceps,,,,RB/FLEX
94505-87467,RB,Chuba,Chuba Hubbard,Hubbard,5.775000095367432,4,5700,CAR@DET,CAR,DET,,,,,,RB/FLEX
94505-112062,WR,Skyy,Skyy Moore,Moore,5.75,4,5700,KC@MIN,KC,MIN,,,,,,WR/FLEX
94505-147051,RB,Jaleel,Jaleel McLaughlin,McLaughlin,6.425000190734863,4,5700,NYJ@DEN,DEN,NYJ,,,,,,RB/FLEX
94505-40845,TE,Hunter,Hunter Henry,Henry,9.524999618530273,4,5700,NO@NE,NE,NO,,,,,,TE/FLEX
94505-28573,WR,Michael,Michael Thomas,Thomas,8.225000381469727,4,5700,NO@NE,NO,NE,,,,,,WR/FLEX
94505-86052,WR,Kadarius,Kadarius Toney,Toney,2.5999999046325684,4,5600,KC@MIN,KC,MIN,,,,,,WR/FLEX
94505-54608,RB,Jerick,Jerick McKinnon,McKinnon,5.550000190734863,4,5600,KC@MIN,KC,MIN,,,,,,RB/FLEX
94505-80289,WR,Kendrick,Kendrick Bourne,Bourne,9.375,4,5600,NO@NE,NE,NO,,,,,,WR/FLEX
94505-83074,TE,Dallas,Dallas Goedert,Goedert,3.825000047683716,4,5500,PHI@LAR,PHI,LAR,,,,,,TE/FLEX
94505-120093,WR,Marvin,Marvin Mims Jr.,Mims Jr.,10.5,4,5500,NYJ@DEN,DEN,NYJ,,,,,,WR/FLEX
94505-170287,WR,Rashid,Rashid Shaheed,Shaheed,8.899999618530273,4,5500,NO@NE,NO,NE,,,,,,WR/FLEX
94505-85741,RB,Clyde,Clyde Edwards-Helaire,Edwards-Helaire,5.025000095367432,4,5500,KC@MIN,KC,MIN,,,,,,RB/FLEX
94505-64389,WR,Nick,Nick Westbrook-Ikhine,Westbrook-Ikhine,10.466666539510092,3,5500,TEN@IND,TEN,IND,,,,,,WR/FLEX
94505-103539,WR,Wan'Dale,Wan'Dale Robinson,Robinson,5.650000095367432,2,5400,NYG@MIA,NYG,MIA,,,,,,WR/FLEX
94505-52451,RB,Samaje,Samaje Perine,Perine,5.400000095367432,4,5400,NYJ@DEN,DEN,NYJ,,,,,,RB/FLEX
94505-86244,TE,Pat,Pat Freiermuth,Freiermuth,5.324999809265137,4,5400,BAL@PIT,PIT,BAL,O,Hamstring,,,,TE/FLEX
94505-63855,WR,K.J.,K.J. Osborn,Osborn,6.925000190734863,4,5400,KC@MIN,MIN,KC,,,,,,WR/FLEX
94505-45631,RB,Jamaal,Jamaal Williams,Williams,4.550000190734863,2,5400,NO@NE,NO,NE,IR,Hamstring,,,,RB/FLEX
94505-71352,WR,Mecole,Mecole Hardman Jr.,Hardman Jr.,1.100000023841858,1,5400,NYJ@DEN,NYJ,DEN,,,,,,WR/FLEX
94505-40647,WR,Marquez,Marquez Valdes-Scantling,Valdes-Scantling,3.3499999046325684,4,5400,KC@MIN,KC,MIN,,,,,,WR/FLEX
94505-111631,WR,Jameson,Jameson Williams,Williams,2.433333396911621,6,5300,CAR@DET,DET,CAR,Q,Coach's decision,,,,WR/FLEX
94505-88109,RB,Gary,Gary Brightwell,Brightwell,3.0333334604899087,3,5300,NYG@MIA,NYG,MIA,,,,,,RB/FLEX
94505-129305,WR,Josh,Josh Downs,Downs,6.074999809265137,4,5300,TEN@IND,IND,TEN,,,,,,WR/FLEX
94505-89612,WR,Michael,Michael Wilson,Wilson,10.675000190734863,4,5300,CIN@ARI,ARI,CIN,,,,,,WR/FLEX
94505-85672,WR,Terrace,Terrace Marshall Jr.,Marshall Jr.,6.466666539510091,3,5300,CAR@DET,CAR,DET,,,,,,WR/FLEX
94505-110259,WR,Treylon,Treylon Burks,Burks,4.600000063578288,3,5300,TEN@IND,TEN,IND,O,Knee,,,,WR/FLEX
94505-55987,WR,JuJu,JuJu Smith-Schuster,Smith-Schuster,3.375,4,5300,NO@NE,NE,NO,,,,,,WR/FLEX
94505-47870,TE,Tyler,Tyler Higbee,Higbee,6.900000095367432,4,5300,PHI@LAR,LAR,PHI,,,,,,TE/FLEX
94505-38791,RB,Ezekiel,Ezekiel Elliott,Elliott,4.625,4,5300,NO@NE,NE,NO,,,,,,RB/FLEX
94505-56262,WR,Parris,Parris Campbell,Campbell,3.299999952316284,4,5300,NYG@MIA,NYG,MIA,,,,,,WR/FLEX
94505-52495,WR,Braxton,Braxton Berrios,Berrios,7.050000190734863,4,5200,NYG@MIA,MIA,NYG,,,,,,WR/FLEX
94505-86312,WR,Alec,Alec Pierce,Pierce,3.7249999046325684,4,5200,TEN@IND,IND,TEN,,,,,,WR/FLEX
