
Id,Position,First Name,Nickname,Last Name,OG_FPPG,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position,FPPG,Value,Projected Minutes
95526-188478,PG,Sir'Jabari,Sir'Jabari Rice,Rice,,3500,SA@PHO,SA,PHO,,,,,,PG,0.00,0.00,0.00
95526-172098,SF,Julian,Julian Champagnie,Champagnie,7.400000095,3500,SA@PHO,SA,PHO,,,,,,SF,0.00,0.00,0.03
95526-145490,PG,Trevelin,Trevelin Queen,Queen,9.200000218,3500,ORL@LAC,ORL,LAC,,,,,,PG,0.00,0.00,0.00
95526-157813,SG/PG,Joshua,Joshua Primo,Primo,17.14999962,3500,ORL@LAC,LAC,ORL,O,Suspension,,,,PG/SG,0.00,0.00,0.00
95526-157824,PG,Miles,Miles McBride,McBride,7.699999809,3500,NY@CLE,NY,CLE,,,,,,PG,0.00,0.00,0.06
95526-157825,C,Jericho,Jericho Sims,Sims,3.599999905,3500,NY@CLE,NY,CLE,,,,,,C,0.00,0.00,0.08
95526-111492,SF/SG,Amir,Amir Coffey,Coffey,2.599999905,3500,ORL@LAC,LAC,ORL,,,,,,SG/SF,14.20,4.07,24.98
95526-157846,PF/C,Sandro,Sandro Mamukelashvili,Mamukelashvili,5.400000095,3500,SA@PHO,SA,PHO,,,,,,PF/C,0.00,0.00,0.07
95526-171925,SF,Dominick,Dominick Barlow,Barlow,0,3500,SA@PHO,SA,PHO,,,,,,SF,0.00,0.00,0.00
95526-145822,SG,Kevon,Kevon Harris,Harris,8.647058824,3500,ORL@LAC,ORL,LAC,O,Knee,,,,SG,0.00,0.00,0.01
95526-145310,PG,Saben,Saben Lee,Lee,8,3500,SA@PHO,PHO,SA,,,,,,PG,0.00,0.00,0.03
95526-14501,C/PF,Tristan,Tristan Thompson,Thompson,13,3500,NY@CLE,CLE,NY,,,,,,PF/C,0.00,0.00,0.02
