Id,Position,First Name,Nickname,Last Name,OG_FPPG,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position,FPPG,Value,Projected Minutes
96011-158137,C,Jock,Jock Landale,Landale,8.75,3800,DEN@HOU,HOU,DEN,,,,,,C,9.50,2.51,9.52
96011-188433,SG,Brandin,Brandin Podziemski,Podziemski,8,3700,MIN@GS,GS,MIN,,,,,,SG,0.00,0.00,0.03
96011-171764,SF,Jabari,Jabari Walker,Walker,12.88749981,3700,POR@LAL,POR,LAL,,,,,,SF,13.90,3.76,17.22
96011-55055,PG,Dante,Dante Exum,Exum,7.875,3700,DAL@NO,DAL,NO,,,,,,PG,4.10,1.11,4.00
96011-171795,PF/SF,Ousmane,Ousmane Dieng,Dieng,8.055555556,3700,OKC@PHO,OKC,PHO,,,,,,SF/PF,7.60,2.04,9.84
96011-171792,PF,Nikola,Nikola Jovic,Jovic,19,3700,MIA@SA,MIA,SA,,,,,,PF,0.00,0.00,0.07
96011-15684,SG,Victor,Victor Oladipo,Oladipo,21.94444444,3700,DEN@HOU,HOU,DEN,O,Knee,,,,SG,0.00,0.00,0.00
96011-180555,SF,Jamal,Jamal Cain,Cain,7.733333588,3700,MIA@SA,MIA,SA,,,,,,SF,0.00,0.00,0.10
96011-15691,C,Cody,Cody Zeller,Zeller,5.23333327,3700,DAL@NO,NO,DAL,,,,,,C,0.00,0.00,0.09
96011-18256,PF/SF,Doug,Doug McDermott,McDermott,11.66666667,3700,MIA@SA,SA,MIA,,,,,,SF/PF,9.30,2.52,12.29
96011-145316,PG,Kira,Kira Lewis,Lewis,8.475000381,3700,DAL@NO,NO,DAL,,,,,,PG,13.00,3.52,15.07
96011-188423,SF,Julian,Julian Strawther,Strawther,8.842857361,3600,DEN@HOU,DEN,HOU,,,,,,SF,8.10,2.24,9.96
96011-117286,C,Moses,Moses Brown,Brown,12.10000038,3600,POR@LAL,POR,LAL,,,,,,C,4.90,1.36,4.05
96011-15947,SG/SF,Reggie,Reggie Bullock,Bullock,4.579999924,3600,DEN@HOU,HOU,DEN,,,,,,SG/SF,3.80,1.04,6.78
96011-85597,PG,Jordan,Jordan McLaughlin,McLaughlin,3.7,3600,MIN@GS,MIN,GS,O,Knee,,,,PG,0.00,0.00,0.00
96011-145538,PF/C,Aleksej,Aleksej Pokusevski,Pokusevski,1.533333302,3600,OKC@PHO,OKC,PHO,,,,,,PF/C,0.00,0.00,0.07
96011-157831,PG,Tre,Tre Mann,Mann,6.266666412,3600,OKC@PHO,OKC,PHO,,,,,,PG,0.00,0.00,0.02
